Route_ID,Distance_Meters,Duration_Seconds,Duration_Minutes,Latitude,Longitude,LatLong
ahQwFM7QFojjRPEjNiJ1nZQQ76c8e1VWjRhR72rbI0j80Gpsh4cIAQ==,4915.203,1140.505,19.0,37.75558552264688,-122.41941679531013,"37.75558552264688,-122.41941679531013"
tejm2T8GzIoFda-cP6aM0YNa-Oz3ia4pP9UgVOE2vlHIC8Pv9_pcCg==,3659.611,834.706,14.0,37.80007,-122.43134,"37.80007,-122.43134"
g3W1X2taYKk0scPFDo5ZkpMPWAEjToRclsLDsT4k6wfgWu5CF1I5Kw==,2706.114,799.289,13.0,37.80678,-122.41756,"37.80678,-122.41756"
mz0QF6XzVizzDtf8D_s1oyCifmowFuif_DP_CKUK9C0cZPQSuw2E5g==,705.829,248.215,4.0,37.783213,-122.409648,"37.783213,-122.409648"
D7z5m1uD92M4Run67OXbdY6OpMwyJP_sD4EJp7-zkdeccat77Hci-w==,7273.092,1415.072,24.0,37.765498241972274,-122.4661957,"37.765498241972274,-122.4661957"
jFZzUi38EKmPTztTpywgdMArtjyWE3Pn6JugBSqJdHDluabYrQj8oA==,2775.765,750.453,13.0,37.77039,-122.40269,"37.77039,-122.40269"
AU3GxgG0XDJrTGyGfy1sRR1H2Z3GI5P_VacTjhp3TCQi7uYrOKbNfQ==,1674.038,640.839,11.0,37.79798,-122.40721,"37.79798,-122.40721"
fxBjOVOZuZUWjPKfUoWXvAaC9QwnZzRNxlGaiDjiTEEyt5WF2gTfeQ==,1665.349,543.994,9.0,37.78039,-122.39781,"37.78039,-122.39781"
WLX6tJ8PFHUw-bSz3YvwV-mqu_680xQICvHmWZGjw7_6b2P2DrXIFQ==,8500.315,1319.401,22.0,37.820673,-122.3750203,"37.820673,-122.3750203"
Nb5D-AvMegmSAoK3TxXNQkjVzietbdhl-v2mgjFFE3QYq12Tok5ADA==,4709.127,1240.11,21.0,37.7601664062955,-122.4351906,"37.7601664062955,-122.4351906"
dTuRZwx8TnLI_BQVWEYYqqhDlI86fFtA-ItI-mkNplsPKza56IucFg==,7458.659,1493.875,25.0,37.7625462134757,-122.466102987528,"37.7625462134757,-122.466102987528"
xaLZyk050T1qiHlantL_hh7BMBD53QuU3KZGw0KWFohswpyzh9CxUA==,5559.765,941.792,16.0,37.75758695921704,-122.38996334651848,"37.75758695921704,-122.38996334651848"
dYQardPeyQt926t6ToiZ4RY854iG-BoniPAYGo09Ou4Xi2rJrWANFA==,4030.275,840.532,14.0,37.762463,-122.396712,"37.762463,-122.396712"
WBpiLdqtvka8ZcDOSHb8QTy6BMBVCsm-DzC_16PUfSt-dIj-jO5J4w==,4783.083,905.338,15.0,37.78136,-122.46092107729817,"37.78136,-122.46092107729817"
1h85KIphXvZ9r3L7U8sgPhXqREUcn_yF9ORQ7jat4FfzuD2WOQXiJg==,2826.239,692.586,12.0,37.78896562756244,-122.43397533119676,"37.78896562756244,-122.43397533119676"
vZ6ru_-_cLJy2NX2gTDQYe0Q0HVoFrl-XEaAkDIAgElV2vfmoaeOcg==,1150.04,310.412,5.0,37.787733,-122.418205,"37.787733,-122.418205"
J8WEkJ2GxpQOBjtlPwHaZwjjJwt6kseJkymYJswqdBU66Ljd7U_gtw==,1457.38,423.869,7.0,37.78291531984934,-122.4188995000186,"37.78291531984934,-122.4188995000186"
tG7Bqz5orHNbCz1VL4IyJVey_BUYTB2cQ5Bd54eARxJ27POOhgCt6A==,3451.765,916.986,15.0,37.76815246219715,-122.424627,"37.76815246219715,-122.424627"
PKImvekXd0bEncaKM2B5dKLAnxiqGNa5J5dq2vGTTkXogvq6CBQXCA==,1947.457,556.006,9.0,37.7975,-122.40336,"37.7975,-122.40336"
fP4aHmJ-Gk6Q_nvZ0flFfX91muN8OW49NYGT_fZDiIW3g7vVGCmN1A==,1222.14,359.043,6.0,37.79409,-122.40506,"37.79409,-122.40506"
IqCb0qRSUIWsk95KazbtXkOJFILn0-nxETacU96-EolACbekv0Bt1g==,4207.174,1077.114,18.0,37.773141,-122.438884,"37.773141,-122.438884"
ReoC9L9_VhyYsTa2zlWdQErK_4jl1R63bQwrLSkl2gTIUwkjcamQFw==,4390.634,923.63,15.0,37.7607059286985,-122.38838263971,"37.7607059286985,-122.38838263971"
8Iy1bEC2MPaqAS6ahDQwHKrSREXXuDqS6T4oi005oJEfUY_5oi5eZQ==,5328.976,1313.255,22.0,37.762933,-122.434141,"37.762933,-122.434141"
OmVisEoyRueeIfgeoUYAPvYH3lJr8tgim3uQCHY8r0AcT5XePWtmMQ==,1961.38,525.62,9.0,37.79318163953876,-122.42106940238784,"37.79318163953876,-122.42106940238784"
x-2TeDnL7Nrh6viIn-9YuIhhwqEoUiJvOsIGwyr-YMwNOST3a_j_Cw==,8399.733,1571.896,26.0,37.7636665206062,-122.47785370807917,"37.7636665206062,-122.47785370807917"
sKKmPw4avvBDlzCWbtyKDQGQ0_q1Yx9xuJ3agxDHwQiRiaZB6Qv2pA==,2485.912,612.981,10.0,37.77787,-122.42421,"37.77787,-122.42421"
hAxcofw1oql895-XZ1Y1ksgQr_-6BfM17rTsXvWFICgqLy_YxmifVA==,4134.949,1044.705,17.0,37.77343530099,-122.438993048014,"37.77343530099,-122.438993048014"
sB0TfJJToTSo-s4nMSdHd6bM4kAV-sBE6m1VLq2bV5g13a58LZJQ5g==,2650.902,711.686,12.0,37.78742,-122.43327,"37.78742,-122.43327"
OGiQJUDwYtz5oc704uAHuwhw4-vLto_S5xuNYZhuwQv0G2mv16Bamg==,5284.48,1235.315,21.0,37.752362,-122.419099,"37.752362,-122.419099"
lmWZp0kLKKipoWskHMudmfFkgALLvT6FJxNyTiYNejpAZV-yli0pOA==,2328.059,570.069,10.0,37.783566,-122.432434,"37.783566,-122.432434"
4y6P14Iwr0ErBT-uMuPzulxCG_272zzc5dsuLAgy5nKp6d9xRdPsDQ==,1210.98,337.289,6.0,37.78927924982757,-122.4099596,"37.78927924982757,-122.4099596"
pIEOy6aueiDRmx2XZuc-dYQ7xhelKLg3aU4qrqfVHhZAVOydjDeQwQ==,7678.886,1478.156,25.0,37.750215,-122.427556,"37.750215,-122.427556"
gwWYy1NYdIOqQcJLvNxsnWrPh4Xxs_0CHT-RVSd_Ev8Wm01XxJ_AlA==,1505.102,507.733,8.0,37.782909,-122.40786,"37.782909,-122.40786"
EnlKyiMJsTejHB0dWG5vBl0O9FYaPvJuXGeDj1uyeWFfdwmn8y_byQ==,6371.203,1196.617,20.0,37.7806549278456,-122.478949574806,"37.7806549278456,-122.478949574806"
wZHl24pZ3ktEh1LatAGhfgHe3uSmHu3ouOk5scP2bdVCqF41CafF2w==,4061.978,903.543,15.0,37.788081,-122.446806,"37.788081,-122.446806"
FJb3YUZDz-Q2wtarnsvOJOYhrIODmqpyqqfUTlui-rrGO5hJoRcFTg==,6182.44,1165.993,19.0,37.780714,-122.476806,"37.780714,-122.476806"
yIzROpiDsxE24FrOT9b-osBLv3wVpCHOmiB9U-M3tZpe4abUCM8W3g==,2681.155,744.549,12.0,37.787223387923554,-122.4341518,"37.787223387923554,-122.4341518"
rIFaHQdkMP6s6nYNIJzuw7jjloIBRFjEWML_sY1QLZTPYH6FVihoLg==,2163.168,629.573,10.0,37.7909966558218,-122.397482693195,"37.7909966558218,-122.397482693195"
DYupx-V-rL2eTwy9xLqFvOP3hsgiut2dpHA2tNcjJftcYYi7tpFFOw==,3137.292,729.59,12.0,37.78465,-122.43997,"37.78465,-122.43997"
W1I1Nw1DpZmYSe4TUiI9Co-cmAQhZVWLrXI2GdGafl9N46WZS5DDEg==,1785.52,642.454,11.0,37.80135,-122.41129,"37.80135,-122.41129"
ZyV85jUvijs0eP_xS-MpcXh6g1pY_oMByevuzV1vGF2BaJS0zqLLXQ==,1493.067,439.735,7.0,37.79619567013229,-122.40454157055215,"37.79619567013229,-122.40454157055215"
Jg_1fmvmVrNhOv8_xEoGjwSKJ3F4uvDw2L8WMP-WF_F58nle-uLG6Q==,5922.695,1342.052,22.0,37.7652402,-122.4500965,"37.7652402,-122.4500965"
3jW6-RbpTiLfQtNxUqgMnYVpE2oGMoU0ciHltyZfv_ncYKRD2Lp8SQ==,7325.875,1430.843,24.0,37.76389,-122.46725,"37.76389,-122.46725"
dHgdizlyXaIlYP1i4U3-3vhJ_zHZqGNKLbrQdQ63rTZE3qhPZqjVhQ==,5516.755,955.406,16.0,37.750911,-122.388126,"37.750911,-122.388126"
AFj8q6mPNoQv1MoBmiH33rw9JgJthZ10iaMCDkctudOOjO59EZlWPg==,2902.689,900.951,15.0,37.8059931,-122.40514635275838,"37.8059931,-122.40514635275838"
5FmghbPqCDuGYLXLSGigWL8pcQlhoo30WMh6UsSszNKZrB8mW64ZVg==,4123.948,874.797,15.0,37.7623025861537,-122.397311757684,"37.7623025861537,-122.397311757684"
LeuvXIYi9jn4RvMsX3tW0NMm8yLCqtRgekeuvPMbphOkQrBvtPK9gw==,2979.867,805.479,13.0,37.774414,-122.420937,"37.774414,-122.420937"
